"","sname","paper_ID"
"1","ABB","BAB1"
"2","ABD","BAB2"
"3","ACA","BAB3"
"4","ACC","BAB4"
"5","ACI","BAB5"
"6","ACM","BAB6"
"7","ADO","BAB7"
"8","AFR","BAB8"
"9","ALB","BAB9"
"10","AMO","BAB10"
"11","ANN","BAB11"
"12","APP","BAB12"
"13","ATL","BAB13"
"14","BAT","BAB14"
"15","BEA","BAB15"
"16","BIK","BAB16"
"17","BIO","BAB17"
"18","BOT","BAB18"
"19","BUC","BAB19"
"20","BUF","BAB20"
"21","BUL","BAB21"
"22","BUR","BAB22"
"23","CAB","BAB23"
"24","CAC","BAB24"
"25","CAD","BAB25"
"26","CAI","BAB26"
"27","CAM","BAB27"
"28","CAR","BAB28"
"29","CAV","BAB29"
"30","CAY","BAB30"
"31","CEN","BAB31"
"32","CHE","BAB32"
"33","CHL","BAB33"
"34","COD","BAB34"
"35","CON","BAB35"
"36","COO","BAB36"
"37","COP","BAB37"
"38","COT","BAB38"
"39","COU","BAB39"
"40","CRI","BAB40"
"41","CRU","BAB41"
"42","CUR","BAB42"
"43","CYC","BAB43"
"44","CYP","BAB44"
"45","DAB","BAB45"
"46","DAG","BAB46"
"47","DAK","BAB47"
"48","DAM","BAB48"
"49","DAP","BAB49"
"50","DAS","BAB50"
"51","DEA","BAB51"
"52","DEC","BAB52"
"53","DED","BAB53"
"54","DEG","BAB54"
"55","DEO","BAB55"
"56","DHA","BAB56"
"57","DHO","BAB57"
"58","DIB","BAB58"
"59","DIC","BAB59"
"60","DIG","BAB60"
"61","DIP","BAB61"
"62","DIW","BAB62"
"63","DOJ","BAB63"
"64","DOU","BAB64"
"65","DOV","BAB65"
"66","DRI","BAB66"
"67","DRO","BAB67"
"68","DRU","BAB68"
"69","DUB","BAB69"
"70","DUD","BAB70"
"71","DUL","BAB71"
"72","DUN","BAB72"
"73","DUR","BAB73"
"74","DYN","BAB74"
"75","EAG","BAB75"
"76","EAR","BAB76"
"77","EAS","BAB77"
"78","ECH","BAB78"
"79","ECL","BAB79"
"80","EDG","BAB80"
"81","EDI","BAB81"
"82","EGO","BAB82"
"83","EID","BAB83"
"84","ELA","BAB84"
"85","ELB","BAB85"
"86","ELD","BAB86"
"87","ELM","BAB87"
"88","ELV","BAB88"
"89","EMI","BAB89"
"90","ENT","BAB90"
"91","ENV","BAB91"
"92","EQU","BAB92"
"93","ERI","BAB93"
"94","ERM","BAB94"
"95","ERN","BAB95"
"96","ETO","BAB96"
"97","EUR","BAB97"
"98","EVA","BAB98"
"99","EXI","BAB99"
"100","FAB","BAB100"
"101","FAK","BAB101"
"102","FAM","BAB102"
"103","FAX","BAB103"
"104","FED","BAB104"
"105","FER","BAB105"
"106","FIG","BAB106"
"107","FIL","BAB107"
"108","FIN","BAB108"
"109","FIW","BAB109"
"110","FRU","BAB110"
"111","GAT","BAB111"
"112","GEM","BAB112"
"113","GEN","BAB113"
"114","GER","BAB114"
"115","GET","BAB115"
"116","GLO","BAB116"
"117","GOS","BAB117"
"118","GOV","BAB118"
"119","GRA","BAB119"
"120","GUF","BAB120"
"121","GUI","BAB121"
"122","GUR","BAB122"
"123","GWA","BAB123"
"124","HAD","BAB124"
"125","HAG","BAB125"
"126","HAP","BAB126"
"127","HAS","BAB127"
"128","HAV","BAB128"
"129","HAZ","BAB129"
"130","HEA","BAB130"
"131","HEE","BAB131"
"132","HEG","BAB132"
"133","HEK","BAB133"
"134","HEL","BAB134"
"135","HES","BAB135"
"136","HEX","BAB136"
"137","HIA","BAB137"
"138","HIC","BAB138"
"139","HIN","BAB139"
"140","HIS","BAB140"
"141","HIV","BAB141"
"142","HIZ","BAB142"
"143","HOF","BAB143"
"144","HOJ","BAB144"
"145","HOK","BAB145"
"146","HON","BAB146"
"147","HOR","BAB147"
"148","HOS","BAB148"
"149","HUC","BAB149"
"150","HUD","BAB150"
"151","HUN","BAB151"
"152","HYM","BAB152"
"153","HYR","BAB153"
"154","IGU","BAB154"
"155","ILA","BAB155"
"156","IRI","BAB156"
"157","ISO","BAB157"
"158","IVY","BAB158"
"159","KAF","BAB159"
